,Const,Runtime,Imdbvotes,Metascore,Award Status_Oscar Nom,Award Status_Oscar Win,Award Status_Other Nom,Award Status_Other Win,Genre Group_Action/Adventure,Genre Group_Drama/Thriller,Genre Group_Animation,Genre Group_Comedy,Genre Group_Horror
996,1.0,103.0,51289.0,58.0,1,0,0,0,0,0,0,1,0
1707,1.0,120.0,46802.0,56.0,1,0,0,0,0,0,0,1,0
608,1.0,89.0,9279.0,55.0,0,0,1,0,0,0,0,1,0
2355,1.0,139.0,611545.0,59.0,0,0,0,1,1,0,0,0,0
2074,1.0,88.0,3003.0,58.74590869939707,0,0,0,1,0,1,0,0,0
1674,1.0,125.0,109223.0,43.0,0,0,0,1,1,0,0,0,0
1863,1.0,86.0,25889.0,47.0,0,0,1,0,0,0,0,0,0
241,1.0,101.0,19705.0,72.0,0,0,1,0,0,0,0,0,0
2505,1.0,133.0,112497.0,56.0,1,0,0,0,0,1,0,0,0
2540,1.0,107.0,4520.0,39.0,0,0,0,0,0,0,0,1,0
137,1.0,139.0,44106.0,55.0,1,0,0,0,1,0,0,0,0
363,1.0,102.0,72957.0,34.0,0,0,1,0,1,0,0,0,0
991,1.0,112.0,57385.0,90.0,0,1,0,0,0,0,0,0,0
1525,1.0,89.0,101863.0,51.0,0,0,0,1,0,0,1,0,0
1090,1.0,128.0,409430.0,100.0,1,0,0,0,0,0,0,0,0
1986,1.0,147.0,258007.0,56.0,0,0,0,1,0,0,0,0,0
2450,1.0,110.0,3020.0,64.0,0,0,0,1,0,1,0,0,0
1021,1.0,108.0,37365.0,42.0,0,0,1,0,0,0,0,0,1
3180,1.0,110.0,267278.0,66.0,0,0,0,1,0,0,0,1,0
2067,1.0,130.0,75648.0,76.0,0,1,0,0,0,1,0,0,0
1595,1.0,97.0,161363.0,77.0,0,0,0,1,0,1,0,0,0
1422,1.0,127.0,6726.0,58.74590869939707,0,0,0,0,0,0,0,0,0
1734,1.0,107.0,141785.0,71.0,0,0,0,1,1,0,0,0,0
135,1.0,105.0,6664.0,53.0,0,0,0,1,0,0,0,1,0
18,1.0,90.0,223972.0,45.0,0,0,0,1,1,0,0,0,0
1204,1.0,98.0,26872.0,52.0,1,0,0,0,1,0,0,0,0
396,1.0,121.0,147770.0,80.0,0,0,0,1,0,0,0,0,0
1713,1.0,132.0,263568.0,74.0,0,0,1,0,0,1,0,0,0
1569,1.0,132.0,18898.0,65.0,1,0,0,0,0,1,0,0,0
2133,1.0,96.0,165038.0,74.0,0,0,0,1,0,1,0,0,0
588,1.0,93.0,23244.0,47.0,0,0,0,1,0,0,0,1,0
1492,1.0,121.0,147487.0,67.0,1,0,0,0,0,0,0,0,0
1624,1.0,117.0,1396.0,58.74590869939707,0,0,0,1,0,0,0,0,0
623,1.0,118.0,789.0,58.74590869939707,0,0,1,0,0,1,0,0,0
852,1.0,94.0,408125.0,77.0,0,0,0,0,0,0,0,1,0
2432,1.0,85.0,85006.0,64.0,1,0,0,0,0,0,1,0,0
712,1.0,132.0,204743.0,84.0,1,0,0,0,0,1,0,0,0
2960,1.0,81.0,12064.0,71.0,0,0,0,1,0,0,0,1,0
1017,1.0,96.0,34356.0,37.0,0,0,0,1,0,0,0,0,1
36,1.0,106.0,1904.0,71.0,0,0,0,1,0,1,0,0,0
460,1.0,97.0,61517.0,76.0,0,0,0,1,0,0,0,0,0
2327,1.0,86.0,14317.0,54.0,0,0,0,0,0,0,1,0,0
660,1.0,105.0,280.0,58.74590869939707,0,0,1,0,0,0,0,0,0
2756,1.0,90.0,1885.0,63.0,0,0,0,1,0,0,0,0,0
1974,1.0,100.0,26242.0,67.0,0,0,0,1,0,0,0,0,0
2227,1.0,89.0,2876.0,72.0,0,0,0,1,0,0,0,0,0
540,1.0,97.0,2839.0,58.74590869939707,0,0,0,0,0,0,0,1,0
2609,1.0,119.0,51345.0,71.0,0,0,0,1,0,1,0,0,0
2077,1.0,93.0,6581.0,55.0,0,0,0,1,0,0,0,0,0
777,1.0,101.0,11216.0,48.0,0,0,1,0,0,0,0,1,0
1447,1.0,95.0,37613.0,74.0,1,0,0,0,1,0,0,0,0
1712,1.0,93.0,4105.0,58.0,0,0,0,0,0,0,0,0,0
2546,1.0,106.0,13254.0,69.0,0,0,0,1,0,1,0,0,0
3297,1.0,105.0,853.0,44.0,0,0,0,0,0,0,0,1,0
2966,1.0,92.0,61838.0,45.0,0,0,1,0,0,0,0,0,1
2629,1.0,84.0,13788.0,64.0,0,0,0,1,0,1,0,0,0
1029,1.0,95.0,120341.0,62.0,0,1,0,0,0,0,0,1,0
1608,1.0,103.0,935.0,69.0,0,0,1,0,0,1,0,0,0
393,1.0,101.0,7861.0,58.74590869939707,0,1,0,0,0,1,0,0,0
1034,1.0,100.0,34809.0,53.0,0,0,0,1,1,0,0,0,0
2610,1.0,122.0,62177.0,56.0,0,0,0,1,1,0,0,0,0
2807,1.0,114.0,11134.0,42.0,0,0,0,1,0,0,0,1,0
2988,1.0,92.0,4670.0,70.0,0,0,0,1,0,1,0,0,0
1534,1.0,68.0,2056.0,58.74590869939707,0,0,0,1,1,0,0,0,0
740,1.0,114.0,74586.0,47.0,1,0,0,0,1,0,0,0,0
1541,1.0,107.0,222237.0,75.0,0,1,0,0,0,1,0,0,0
1226,1.0,125.0,508.0,58.74590869939707,0,0,0,0,0,0,0,0,0
1651,1.0,82.0,64053.0,56.0,0,0,0,1,0,0,1,0,0
994,1.0,162.0,194715.0,87.0,0,1,0,0,0,1,0,0,0
1440,1.0,102.0,1442.0,58.74590869939707,0,0,0,0,1,0,0,0,0
493,1.0,195.0,1380424.0,95.0,0,1,0,0,0,0,0,0,0
252,1.0,111.0,6316.0,58.74590869939707,0,0,1,0,0,1,0,0,0
1293,1.0,87.0,426.0,74.0,0,0,0,0,0,0,0,0,0
142,1.0,83.0,9827.0,54.0,0,0,1,0,0,0,0,1,0
543,1.0,90.0,23366.0,54.0,0,0,1,0,0,0,0,1,0
1985,1.0,85.0,132446.0,74.0,0,0,0,1,0,0,1,0,0
985,1.0,96.0,170585.0,56.0,0,0,0,1,0,0,0,1,0
63,1.0,85.0,3523.0,58.74590869939707,0,0,1,0,0,0,0,1,0
1499,1.0,105.0,1120.0,36.0,0,0,1,0,0,1,0,0,0
1524,1.0,113.0,185010.0,79.0,0,0,0,1,0,0,0,1,0
916,1.0,120.0,422311.0,92.0,0,1,0,0,0,1,0,0,0
94,1.0,96.0,5237.0,58.74590869939707,0,0,0,1,0,0,0,1,0
2690,1.0,86.0,1901.0,55.0,0,0,0,0,0,0,0,0,0
1725,1.0,102.0,6928.0,58.74590869939707,0,0,1,0,1,0,0,0,0
2880,1.0,90.0,9434.0,13.0,0,0,0,0,0,0,0,1,0
26,1.0,102.0,31135.0,50.0,0,0,1,0,0,0,0,1,0
189,1.0,100.0,48341.0,52.0,0,0,0,0,1,0,0,0,0
512,1.0,104.0,59635.0,35.0,0,0,1,0,1,0,0,0,0
92,1.0,111.0,21516.0,62.0,0,0,1,0,0,0,0,0,0
2771,1.0,136.0,676235.0,66.0,0,0,0,1,1,0,0,0,0
1533,1.0,97.0,2073.0,37.0,0,0,0,0,0,0,0,1,0
709,1.0,87.0,15274.0,36.0,0,0,0,0,0,0,0,1,0
1762,1.0,167.0,8944.0,81.0,1,0,0,0,0,0,0,0,0
1605,1.0,95.0,1843.0,57.0,0,0,1,0,0,0,0,1,0
1048,1.0,95.0,2470.0,41.0,0,0,1,0,0,1,0,0,0
2504,1.0,86.0,3004.0,79.0,0,0,0,1,0,0,0,0,0
119,1.0,95.0,13270.0,33.0,0,0,1,0,0,0,0,0,0
870,1.0,139.0,177945.0,88.0,0,1,0,0,0,0,0,1,0
3088,1.0,101.0,79088.0,31.0,0,0,0,1,0,1,0,0,0
839,1.0,91.0,2354.0,58.74590869939707,0,0,0,1,0,0,0,0,0
3290,1.0,88.0,5237.0,80.0,0,0,0,1,0,1,0,0,0
122,1.0,92.0,25519.0,39.0,0,0,0,0,0,0,0,1,0
2483,1.0,94.0,257.0,58.74590869939707,0,0,0,0,0,0,0,0,0
402,1.0,113.0,134178.0,60.0,1,0,0,0,1,0,0,0,0
959,1.0,129.0,4274.0,30.0,0,0,1,0,0,1,0,0,0
742,1.0,121.0,99656.0,62.0,0,0,0,1,1,0,0,0,0
832,1.0,120.0,26601.0,58.74590869939707,0,0,0,1,0,0,0,1,0
2382,1.0,101.0,125374.0,86.0,0,0,0,1,0,0,0,0,0
872,1.0,101.0,23010.0,58.74590869939707,0,0,0,0,1,0,0,0,0
2575,1.0,91.0,289958.0,87.0,0,0,0,1,0,0,0,0,1
1971,1.0,87.0,3408.0,63.0,0,0,1,0,0,0,0,1,0
190,1.0,93.0,3214.0,70.0,1,0,0,0,0,0,0,1,0
434,1.0,95.0,1949.0,58.74590869939707,0,0,0,0,0,0,0,1,0
2372,1.0,88.0,1800.0,63.0,0,0,1,0,0,1,0,0,0
2364,1.0,124.0,940.0,49.0,0,0,1,0,0,0,0,0,0
